AÑO,CÓDIGO_ETC,ETC,POBLACIÓN_5_16,TASA_MATRICULACIÓN_5_16,COBERTURA_NETA,COBERTURA_NETA_TRANSICIÓN,COBERTURA_NETA_PRIMARIA,COBERTURA_NETA_SECUNDARIA,COBERTURA_NETA_MEDIA,COBERTURA_BRUTA,COBERTURA_BRUTA_TRANSICIÓN,COBERTURA_BRUTA_PRIMARIA,COBERTURA_BRUTA_SECUNDARIA,COBERTURA_BRUTA_MEDIA,TAMAÑO_PROMEDIO_DE_GRUPO,SEDES_CONECTADAS_A_INTERNET,DESERCIÓN,DESERCIÓN_TRANSICIÓN,DESERCIÓN_PRIMARIA,DESERCIÓN_SECUNDARIA,DESERCIÓN_MEDIA,APROBACIÓN,APROBACIÓN_TRANSICIÓN,APROBACIÓN_PRIMARIA,APROBACIÓN_SECUNDARIA,APROBACIÓN_MEDIA,REPROBACIÓN,REPROBACIÓN_TRANSICIÓN,REPROBACIÓN_PRIMARIA,REPROBACIÓN_SECUNDARIA,REPROBACIÓN_MEDIA,REPITENCIA,REPITENCIA_TRANSICIÓN,REPITENCIA_PRIMARIA,REPITENCIA_SECUNDARIA,REPITENCIA_MEDIA
2012,3828,Amazonas (ETC),22194,818734793187348,81.87,60.22,85.62,53.33,22.31,94.76,60.22,85.62,53.33,22.31,19.34,20.91,4.7,5.16,2.3,7.97,8.06,93.74,94.84,95.78,90.68,89.96,1.56,0,1.92,1.35,1.98,3.9,0.67,3.32,6.17,3.39
2013,3828,Amazonas (ETC),22123,81.84,81.83,48.38,83.96,58.22,22.09,95.41,96.86,111.83,91.23,59.61,27.6,12.84,3.29,3.16,1.82,5.26,5.57,95.78,96.84,97.05,94.17,92.31,0.93,0,1.13,0.56,2.12,4.32,2.46,4.41,5.16,2.58
2011,3828,Amazonas (ETC),22223,82.34,82.32,63.68,87.23,50.65,21.91,94.53,94.49,117.82,82.46,58.01,14.95,36.36,5.46,5.56,3.67,8.21,7.9,91.16,94.27,92.83,88.63,85.15,3.38,0.17,3.5,3.16,6.95,1.65,0.65,2.02,1.39,1.34
2014,3828,Amazonas (ETC),22167,82.13,82.11,43.91,84.93,57.69,23.09,95.65,89.5,114.05,89.12,63.26,20.29,16.51,3.04,2.97,1.95,4.67,4.35,96.93,97.03,98.02,95.28,95.65,0.03,0,0.03,0.05,0,6.3,2.77,6.83,7.25,3.17
2017,3828,Amazonas (ETC),22269,83.6,82.1,48.95,80.56,60.67,30.05,96.56,92.62,108,94.3,72.21,20.971,16.5,4.88,6.38,3.06,6.98,6.23,87.45,92.71,90.04,82,86.58,7.67,0.91,6.91,11.01,7.19,5.96,3.3,7.06,6.05,2.42
2015,3828,Amazonas (ETC),22212,81.49,81.46,40.65,82.75,59.41,26.52,95.76,79.35,111.01,94.27,67.01,20.13,16.36,4.76,4.54,2.53,8,6.69,89.23,95.19,90.55,85.73,88.52,6.01,0.27,6.92,6.27,4.79,5.15,1.36,5.14,6.39,4.15
2016,3828,Amazonas (ETC),22243,81.36,81.35,45.44,80.27,59.77,26.64,96.12,84.42,108.78,96.16,68.38,21.218,26.61,5.06,5.23,2.75,8.49,5.96,89.11,94.45,91.28,84.46,88.25,5.83,0.32,5.97,7.05,5.79,6.61,1.66,7.5,7.17,4.14
2014,3758,Antioquia (ETC),586947,87.99,87.94,59.24,89.13,68.71,33.98,99.48,80.55,114.87,100.76,67.98,30.57,58.01,2.68,2.4,2.26,3.55,2.23,96.3,97.54,96.9,95.05,96.32,1.02,0.06,0.84,1.4,1.44,1.87,0.19,1.77,2.69,1.09
2011,3758,Antioquia (ETC),599438,90.98,90.95,68.91,93.85,66.85,33.83,101.73,84.91,122.24,98.66,65.99,25.07,74.68,4.16,3.89,3.93,4.71,3.87,92.18,95.98,92.89,90.65,90.44,3.67,0.13,3.2,4.65,5.69,2.02,0.15,1.94,2.89,1.24
2013,3758,Antioquia (ETC),590211,89.22,89.17,61.67,90.65,69.02,34.18,102.17,84.4,119.76,101.78,68.31,54.76,64.42,3.84,3.36,3.27,5.03,3.28,91.15,96.47,91.99,88.68,90.66,5.01,0.17,4.74,6.29,6.06,1.7,0.19,1.59,2.44,1.19
2017,3758,Antioquia (ETC),588225,82.4,82.35,51.2,79.65,68.32,36.68,93.37,71.93,101.96,99.67,69.47,29.463,22.8,4.9,4.11,3.87,6.76,4.19,89.98,95.73,91.33,86.52,91.01,5.12,0.16,4.8,6.72,4.8,5.44,1.26,6.1,6.38,1.96
2012,3758,Antioquia (ETC),594583,890033855660185,88.97,67.1,91,67,34.06,101.25,67.1,91,67,34.06,25.81,58.75,4.71,4.01,4.13,5.95,4.36,90.73,95.76,91.5,88.25,90.42,4.56,0.24,4.36,5.8,5.23,1.22,0.1,1.2,1.69,0.82
2016,3758,Antioquia (ETC),586134,84.63,84.59,51.7,83.67,67.43,36.91,97.59,73.08,110.53,100.83,70.46,29.38,14.96,4.67,3.81,3.66,6.66,3.69,90.06,96.03,91.38,86.24,92.01,5.27,0.16,4.96,7.1,4.3,2.43,0.38,2.66,2.98,0.85
2015,3758,Antioquia (ETC),585044,86.44,86.38,55.65,86.56,67.67,35.56,99.29,75.6,114.28,101.43,69.19,28.98,59.4,4.09,3.16,3.34,5.77,3.06,90.26,96.67,91.58,86.26,92.13,5.65,0.17,5.08,7.97,4.81,6.89,1.97,7.54,8.17,2.69
2016,7692,Apartado,48505,60.75,60.75,30.69,58.71,51.07,26.06,82.04,48.92,93.91,88.45,56.86,34.03,37.5,5.69,3.25,4.18,8.86,3.88,84.8,96.59,88.51,76,88.7,9.51,0.15,7.31,15.15,7.42,1.49,0.52,1.27,2.32,0.41
2013,7692,Apartado,46584,64.99,64.98,52.21,66.47,49.26,22.55,78.42,69.72,91.36,77.44,52.41,61.9,45.61,4.82,2.24,3.43,7.83,4.48,93.46,97.76,94.96,89.71,94.04,1.73,0,1.61,2.45,1.48,1.34,0.31,1.62,1.31,0.81
2015,7692,Apartado,47694,62.16,62.12,35.89,61.86,51.31,22.99,76.72,55.76,87.41,81.05,52.12,35.15,45.31,5.27,4.95,3.62,8.03,4.41,88.94,95.05,92.81,81.37,90.53,5.78,0,3.57,10.59,5.05,2.46,1.8,2,3.5,1.68
2017,7692,Apartado,49431,59.02,59.01,32.96,55.57,52.25,26.61,71.09,51.27,72.4,82.9,55.32,35.781,46.88,4.99,3.3,3.52,7.65,3.88,85,96.08,88.07,77.41,88.74,10.02,0.62,8.41,14.94,7.39,0.61,0.1,0.4,1.1,0.26
2012,7692,Apartado,46159,667973742932039,66.78,57.61,68.41,49.24,23.84,78.14,57.61,68.41,49.24,23.84,32.5,63.64,3.43,2.59,2.62,5,3.32,96.12,97.41,96.87,94.53,96.23,0.45,0,0.51,0.47,0.45,0.71,0.1,0.88,0.71,0.34
2014,7692,Apartado,47133,63.95,63.95,42.86,65.92,50.65,21.07,75.1,64.24,84.28,78.25,51.34,34.04,47.37,3.07,2.47,2.33,4.41,3.01,96.01,97.53,96.96,94.3,95.42,0.91,0,0.71,1.29,1.57,4.12,0.4,4.16,5.38,2.5
2011,7692,Apartado,45592,66.51,66.47,53.22,68.87,48.32,24.71,78.67,66.22,86.97,81.62,57.53,26.21,65.91,4.81,2.46,4.21,6.03,5.87,94.13,97.54,95.31,91.99,92.06,1.06,0,0.47,1.98,2.07,1.86,0.06,1.81,2.67,0.95
2013,3824,Arauca (ETC),74658,70.71,70.7,43.08,69.81,54.13,27.78,81.63,81.38,93.13,78.11,56.13,27.69,16.63,4.17,2.13,4.26,5.09,2.63,95.83,97.87,95.74,94.91,97.28,0.01,0,0,0,0.09,2.42,1.42,1.96,3.63,2.04
2014,3824,Arauca (ETC),74948,71.55,71.51,43.19,70.83,54.71,27.6,81.48,76.66,93.11,79.12,56.24,20.42,21.23,5.59,1.65,5,7.39,6.76,94.4,98.35,95,92.61,93.13,0.01,0,0,0,0.11,3.83,1.87,3.06,5.9,3.09
2015,3824,Arauca (ETC),75107,72.88,72.84,46.47,71.95,55.91,28.37,82.95,82.65,91.52,82.64,59.76,20.22,37.55,3.51,3.17,2.82,4.84,3.28,96.29,96.83,97.18,94.82,95.64,0.2,0,0,0.34,1.08,2.78,0.86,2.29,4.37,2.05
2011,3824,Arauca (ETC),73431,74.15,74.11,49.81,71.09,55.36,31.49,85.09,75.73,93.42,85.88,64.26,17.62,30.33,2.14,1.98,1.86,2.46,2.83,97.72,98.02,98.14,97.54,95.71,0.13,0,0,0,1.46,2.27,0.53,1.92,3.47,1.92
2012,3824,Arauca (ETC),74454,723265371907487,72.29,51.48,70.61,54.47,29.81,83.67,51.48,70.61,54.47,29.81,16.46,17.33,4.99,4.63,4.72,5.72,4.56,94.99,95.37,95.28,94.27,95.21,0.03,0,0,0.01,0.23,2.04,0.71,1.47,3.72,1.39
2017,3824,Arauca (ETC),75197,75.04,75.02,47.31,73.96,58.4,30.87,86.6,83.24,97.04,85.63,62.25,21.767,35.81,3.63,3.9,3.28,4.23,3.21,96.31,96.1,96.72,95.77,96.07,0.07,,,,0.73,7.17,5.85,6.85,9.05,3.68
2016,3824,Arauca (ETC),75185,73.98,73.95,45.72,73.41,56.6,30.26,85.37,81.85,96.01,83,63.17,20.236,13.29,3.72,4.45,2.99,4.75,3.61,96.28,95.55,97.01,95.25,96.37,0,,,,0.02,3.44,1.17,2.49,5.99,2.3
2015,3827,"Archipiélago de San Andrés, Providencia y Santa Catalina (ETC)",15265,67.34,67.3,52.34,67.37,60.42,39.01,72.67,69.1,76.07,76.45,58.81,25.8,83.33,0.63,0.29,0.4,1.01,0.7,95.92,99.56,97.57,92.73,96.21,3.44,0.15,2.03,6.26,3.08,3.63,0,3.44,5.62,1.32
2012,3827,"Archipiélago de San Andrés, Providencia y Santa Catalina (ETC)",15648,686988752556237,68.65,59.87,69.69,60.91,39.82,76.21,59.87,69.69,60.91,39.82,25.28,0,1.26,1.21,1.12,1.52,1.12,98.16,98.79,98.37,97.72,98.16,0.58,0,0.51,0.76,0.72,3.72,0.24,2.9,5.69,3.76
2014,3827,"Archipiélago de San Andrés, Providencia y Santa Catalina (ETC)",15395,68.17,68.13,54.44,68.17,61.25,38.52,73.86,76.59,76.07,78.89,57.48,26.04,96,1.22,2.11,0.94,1.25,1.55,98.74,97.89,99.06,98.75,98.17,0.03,0,0,0,0.27,3.9,0.74,2.31,7.03,2.74
2017,3827,"Archipiélago de San Andrés, Providencia y Santa Catalina (ETC)",15106,67.84,67.64,51.18,67.84,59.69,37.76,72.38,67.06,77.72,75.58,55.57,27.407,79.17,1.15,0.75,1.29,1.13,0.9,97.88,99.25,98.09,97.04,98.6,0.97,,0.62,1.82,0.5,2.04,1.34,1.22,3.75,0.8
2016,3827,"Archipiélago de San Andrés, Providencia y Santa Catalina (ETC)",15167,68.17,68.15,46.9,70.28,60.46,38.67,73.81,64.84,80.67,76.08,57.06,25.96,79.17,2.26,1.09,2.3,2.66,1.62,97.73,98.91,97.7,97.34,98.29,0.01,,,,0.1,2.47,,1.99,3.71,2.38
2011,3827,"Archipiélago de San Andrés, Providencia y Santa Catalina (ETC)",15852,67.28,67.23,57,68.26,59.08,39.15,73.8,62.34,75.08,78.79,66.33,24.01,65.63,1.72,0.84,3.03,0.59,0.82,96.73,99.16,96.26,97.22,95.57,1.55,0,0.71,2.19,3.61,2.16,0.28,1.83,3.24,1.48
2013,3827,"Archipiélago de San Andrés, Providencia y Santa Catalina (ETC)",15536,67.93,67.89,48.61,66.5,62.41,39.06,74.43,67.22,74.96,81.92,61.98,38.24,80,0.91,0.93,1,0.97,0.42,99.08,99.07,99,99.03,99.49,0.01,0,0,0,0.08,4.73,4.12,3.31,6.98,3.63
2013,3804,Armenia,56238,86.5,86.48,49.98,78.47,81.13,50.7,101.82,78.85,97.75,115.85,95.2,46.69,77.78,4.5,5.09,3.28,5.92,4.01,90.01,94.91,93.51,85.38,89.86,5.49,0,3.21,8.71,6.13,0.95,0.1,0.56,1.63,0.61
2017,3804,Armenia,54421,80.11,80.08,47.39,73.1,75.77,54.08,90.46,71.27,84.4,101.26,93.32,30.963,100,4.41,4.53,3.02,5.91,4.3,88.85,95.22,92.51,83.71,89.39,6.74,0.25,4.47,10.39,6.31,0.74,0.04,0.53,1.24,0.35
2015,3804,Armenia,55140,82.94,82.88,45.19,75.18,78.27,51.72,95.07,72.45,88.87,107.67,96.13,29.57,70.42,4.7,5.01,3.38,6.28,4.13,88.74,94.88,92.8,83.57,88.36,6.55,0.12,3.82,10.16,7.51,1.38,0.31,1.14,1.97,0.94
2012,3804,Armenia,56527,886142905160366,88.6,56.59,81.16,82,50.82,102.97,56.59,81.16,82,50.82,27.19,64.79,5.56,6.15,4.29,7.13,4.82,89.95,93.65,92.61,86.08,90.26,4.49,0.2,3.1,6.79,4.92,1.07,0.15,0.95,1.4,1.06
2014,3804,Armenia,55638,84.67,84.63,42.42,78.02,80.9,48.61,98.43,71.5,93.24,114.15,93.04,29.39,100,3.37,3.46,2.31,4.6,3.04,92.63,96.35,95.5,89.33,91.67,4,0.19,2.19,6.07,5.29,1.41,0.34,1,2.26,0.68
2016,3804,Armenia,54728,82.1,82.05,46.69,74.8,77.33,55.3,94.03,71.2,87.17,104.37,101.46,28.615,80,5.5,5.9,3.98,7.14,5.3,87.89,93.76,91.76,82.67,88.21,6.62,0.33,4.27,10.2,6.49,1.2,0.29,0.94,1.84,0.69
2011,3804,Armenia,57496,90.88,90.83,63.12,84.11,82.59,52.64,104.99,81.99,101.03,118.98,97.89,31.41,4.23,4.22,3.84,3.4,5.16,4.39,92.76,96.09,95.24,90.27,90.3,3.02,0.06,1.36,4.58,5.32,1.9,0.29,1.64,2.69,1.34
2014,3764,Atlántico (ETC),114204,96.83,96.37,60.32,89.27,82.15,47.42,109.49,103.39,118.52,111.26,85.8,28.68,89.05,2.51,2.51,2.46,2.57,2.47,97.39,97.48,97.46,97.4,97.1,0.1,0.01,0.08,0.03,0.43,1.57,0.95,1.8,1.67,0.85
2012,3764,Atlántico (ETC),115290,922092115534738,91.89,54.41,87.31,76.28,44.05,104.65,54.41,87.31,76.28,44.05,26.05,79.49,3.05,2.89,3.22,2.97,2.73,96.29,96.78,96.14,96.21,96.82,0.66,0.34,0.64,0.82,0.45,1.4,1.14,1.43,1.71,0.6
2016,3764,Atlántico (ETC),113236,98.96,98.45,55.78,93.22,81.15,54.54,110.91,96.14,120.95,110.67,93.27,28.591,90.73,2.67,3.92,2.64,2.76,1.83,92.47,95.9,92.74,90.62,94.63,4.86,0.18,4.62,6.62,3.54,1.75,0.41,1.93,2.15,0.84
2013,3764,Atlántico (ETC),114762,94.28,93.86,56.5,88.36,78.25,46.33,107.69,100.63,118.69,106.77,84.96,48.02,85.99,1.7,1.95,1.86,1.5,1.49,95.7,96.81,95.76,95.11,96.4,2.6,1.24,2.38,3.39,2.12,1.94,2.4,2.01,2.08,0.98
2017,3764,Atlántico (ETC),112847,100.66,100.16,62.87,95.05,83.15,54.73,109.89,103.28,116.07,112.42,92.3,31.163,91.22,1.59,2.37,1.51,1.63,1.31,92.05,97.34,92.59,89.23,94.61,6.36,0.29,5.9,9.14,4.08,1.4,0.53,1.59,1.67,0.53
2011,3764,Atlántico (ETC),115812,92.3,91.97,49.84,89.37,73.63,45.83,104.09,87.59,114.69,104.79,83.6,24.63,70.09,2.13,2.9,2.03,2.02,2.38,96.07,96.82,96.38,95.75,95.36,1.8,0.28,1.59,2.23,2.27,1.09,0.58,0.8,1.67,0.89
2015,3764,Atlántico (ETC),113688,94.53,94.1,56.51,88.33,80.36,48.67,104.35,95.19,111.89,105.81,86.7,26.76,91.18,1.16,2,0.91,1.41,0.84,95.73,97.78,96.14,94.33,97.03,3.11,0.22,2.95,4.26,2.12,2.53,0.64,2.88,2.94,1.25
2016,3810,Barrancabermeja,38168,119.78,119.55,79.45,123.05,98.27,54.48,133.95,137.05,148.21,132.18,101.69,25.787,5.61,3.48,5.72,2.35,4.69,2.82,87.54,92.84,91.31,81.24,87.9,8.98,1.44,6.34,14.07,9.29,5.48,2.01,3.58,9.29,3.77
2014,3810,Barrancabermeja,39566,118.17,118.06,73.88,119.29,100.62,49.54,134.29,134.87,148.21,136.96,96.63,27.09,7.48,4.88,3.63,4.22,6.22,4.16,92.02,93.24,94.17,89.32,90.69,3.11,3.13,1.61,4.47,5.15,7.06,4.16,4.49,11.92,4.11
2012,3810,Barrancabermeja,41192,110560302971451,110.38,95.67,110.11,92.03,51.74,127.81,95.67,110.11,92.03,51.74,25.96,0.83,5.72,8.09,4.05,7.6,4.24,86.76,90.12,90.88,80.43,87.75,7.52,1.79,5.07,11.98,8.01,6.29,0.8,4.82,10.01,4.99
2011,3810,Barrancabermeja,42264,109.89,109.73,90.01,109.15,91.4,51.31,121.84,113.04,131.24,129.11,90.78,22.6,4.96,7.46,5.98,5.15,10.87,6.39,82.17,92,88.98,71.76,83.29,10.38,2.02,5.87,17.38,10.32,3.91,0.31,2.59,5.91,4.64
2015,3810,Barrancabermeja,38851,119.59,119.38,82.38,121.91,100.12,50.58,134.93,133.1,151.84,135.62,94.6,26.57,72.22,4.25,5.73,3.15,5.64,3.34,86.53,90.97,90.34,80.09,88.04,9.21,3.3,6.51,14.27,8.61,7.67,4.93,5.82,11.63,4.53
2013,3810,Barrancabermeja,40403,114.04,113.91,77.23,114.4,96.08,50.11,131.84,142.25,144.79,132,97.34,37.88,71.96,6.2,7.78,4.61,8.19,5.05,81.93,89.54,87.75,73.05,80.11,11.88,2.68,7.64,18.76,14.84,4.95,3.16,4.16,7.07,2.71
2017,3810,Barrancabermeja,37581,122.3,122.12,88.56,123.17,100.85,56.49,136.92,145.02,148.02,134.94,109.77,32.753,5.56,2,2.96,1.54,2.38,1.94,88.49,96.07,91.27,83.07,88.41,9.52,0.98,7.18,14.55,9.65,5.27,1.35,3.62,8.86,3.64
2011,4909,Barranquilla,250498,115.14,114.97,47.78,115.93,95.17,61.46,123.9,77.31,137.13,126.62,108.77,30.12,91.67,2.81,0.68,3.53,2.31,2.58,97.19,99.32,96.47,97.69,97.42,0,0,0,0,0,2.02,1.57,1.67,2.87,1.18
2016,4909,Barranquilla,239963,98.09,97.83,58.71,92.27,84.59,57.78,107.49,89.81,111.95,112.05,96.09,28.283,99.05,2.01,2.66,1.96,2.14,1.46,95.65,95.47,96.01,94.69,97.17,2.35,1.87,2.03,3.17,1.37,1.26,1.76,1.18,1.56,0.43
2014,4909,Barranquilla,244634,90.2,90.07,56.02,84.18,81.23,49.89,97.64,86.22,101.9,103.04,81.9,22.91,74.76,2.88,0.27,2.94,3.46,2.55,97.12,99.73,97.06,96.54,97.45,0,0,0,0,0,0,0,0,0,0
2012,4909,Barranquilla,248803,101493149198362,101.47,51.9,99.4,87.71,54.92,110.43,51.9,99.4,87.71,54.92,22.49,23.25,3.37,,3.91,3.71,2.38,96.69,100,96.13,96.37,97.67,0,0,0,0,0,2.09,1.45,1.9,2.75,1.3
2013,4909,Barranquilla,246729,92.04,92.02,55.35,88.33,82.24,50.71,101.42,92.01,108.39,106.28,79.11,25.96,100,3.27,0.48,3.61,3.49,3.08,96.73,99.52,96.39,96.51,96.92,0,0,0,0,0,1.47,1.57,1.47,1.71,0.73
2015,4909,Barranquilla,242365,93.35,93.18,60.65,87.68,82.62,52.03,100.52,88.99,104.62,105.88,85.38,29.02,90.43,1.54,1.56,1.58,1.7,0.94,95.7,97.21,96.09,94.28,97.53,2.75,1.22,2.33,4.02,1.53,1.79,3.22,1.6,2.09,0.77
2017,4909,Barranquilla,237521,99.7,99.39,64.95,94.61,85.97,57.93,109.82,95.86,113.73,113.24,100.26,32.351,92.49,1.14,1.84,1.05,1.21,0.86,94.82,96.31,95.56,93.01,96.39,4.05,1.84,3.39,5.78,2.75,1.28,1.36,1.42,1.44,0.35
2014,3760,Bello,91911,79.38,79.33,52.38,78.98,66.61,37.26,90.71,68.66,95.85,99.96,71.32,30.8,88.06,3.13,2.52,2.7,4.04,2.51,96.76,97.48,97.3,95.96,96.53,0.11,0,0,0,0.96,2.77,0.8,2.4,4.24,0.98
2015,3760,Bello,92140,81.33,81.27,55.7,81.59,65.7,38.78,93.93,69.27,98.24,104.3,75.42,32.96,93.55,3.29,2.77,2.44,4.93,2.16,96.57,97.08,97.54,94.96,97.14,0.14,0.16,0.03,0.11,0.7,2.32,0.39,2.12,3.35,1.09
2016,3760,Bello,92630,80.23,80.17,51.65,79.89,66.1,39.29,91.98,64.43,95.05,102.97,76.36,33.056,92.06,4.89,4.05,3.94,6.87,3.12,92.56,95.5,94.12,89.24,94.9,2.55,0.45,1.94,3.9,1.99,2.3,0.45,2.38,3.07,0.5
2012,3760,Bello,91514,812826452783181,81.22,62.2,78.69,69.35,43.05,93.34,62.2,78.69,69.35,43.05,27.05,77.78,3.08,2.39,2.41,4.17,2.87,96.77,97.55,97.52,95.62,96.74,0.15,0.06,0.07,0.21,0.39,2.58,0.16,2.03,4.12,1.65
2017,3760,Bello,93422,78.54,78.45,53.37,77.24,67.26,38.29,89.82,65.61,91.3,101.77,74.43,34.476,93.65,3.06,2.94,2.71,3.82,2.14,96.11,96.7,96.46,95.26,97.03,0.84,0.36,0.83,0.92,0.83,1.45,0.25,1.48,1.96,0.41
2011,3760,Bello,91582,82.53,82.44,62.2,79.12,71.59,45.22,93.31,73.5,94.58,103.76,79.34,28.52,87.5,2.76,2.25,2.3,3.55,2.45,96.98,97.75,97.58,96.34,96.2,0.26,0,0.12,0.11,1.35,3.12,0.41,2.39,5.03,1.63
2013,3760,Bello,91823,80.63,80.57,55.91,78.53,68.87,39.86,93.14,76.62,95.85,102.65,76.44,57.71,100,2.77,2.46,2.13,3.73,2.7,97.23,97.54,97.87,96.27,97.29,0,0,0,0,0.01,2.69,1.21,2.52,3.7,1.34
2012,3766,"Bogotá, D.C. (ETC)",1470171,869417231056795,86.52,66.33,83.97,81.47,51.78,92.86,66.33,83.97,81.47,51.78,17.5,100,3.89,,3.42,4.88,4.45,96.11,100,96.58,95.12,95.55,0,0,0,0,0,8.69,0.58,5.47,14.06,8.14
2014,3766,"Bogotá, D.C. (ETC)",1460379,80.79,80.38,57.76,76.77,75.23,49.97,86.66,74.09,86.68,93.86,78.68,17.07,99.44,2.5,2.7,2.01,3.01,2.48,97.36,97.3,97.93,96.75,97.35,0.14,0,0.06,0.25,0.17,5.17,0.19,3.61,8.31,4.08
2016,3766,"Bogotá, D.C. (ETC)",1453283,80.71,80.26,56.39,79.04,72.6,49.73,87.29,71.28,88.8,92.09,82.07,27.281,97.65,2.08,2.17,1.57,2.69,2.02,97.55,97.83,98.39,97.14,95.98,0.37,,0.04,0.17,2,3.73,0.04,2.92,6.01,2.09
2017,3766,"Bogotá, D.C. (ETC)",1452849,79.92,79.45,54.62,78.53,71.47,49.3,86.62,70.52,88.19,90.72,82.66,31.843,98.76,1.62,2.21,1.31,1.9,1.55,97.29,97.75,98.04,96.74,96.18,1.09,0.04,0.64,1.36,2.27,0.14,0.01,0.14,0.2,0.06
2011,3766,"Bogotá, D.C. (ETC)",1479334,90.7,90.29,68.63,86.99,84.7,55.01,97.78,82.04,97.94,106.48,87.76,26.75,94.21,3.95,10.05,5.3,1.96,2.55,96.05,89.95,94.69,98.04,97.45,0,0,0,0,0,9.91,1.05,6.49,16.02,7.94
2015,3766,"Bogotá, D.C. (ETC)",1455309,82.2,81.77,59.17,78.94,74.89,50.61,88.45,73.77,89.14,94.6,81.94,27.56,98.87,3.63,3.48,2.72,4.85,3.2,96.29,96.51,97.25,95.02,96.57,0.09,0,0.03,0.12,0.23,3.23,0.03,2.3,5.11,2.57
2013,3766,"Bogotá, D.C. (ETC)",1466854,84.5,84.07,61.24,79.32,79.72,52.67,91.42,78.94,89.84,99.41,85.53,28.08,99.86,3.68,0.59,3.1,4.82,3.74,96.32,99.4,96.9,95.18,96.26,0,0.01,0,0,0,6.89,0.91,4.88,10.78,5.54
2013,3767,Bolívar (ETC),247882,83.12,83.07,52.87,81.33,60.71,29.1,99.02,111.03,113.76,93.97,65.63,34.82,46.09,2.33,1.81,2.7,2.09,1.7,97.12,97.97,96.82,97.17,97.68,0.55,0.22,0.48,0.75,0.62,2.06,1.32,2.23,2.37,0.93
2011,3767,Bolívar (ETC),250296,85.21,85.18,54.3,85.5,57.76,29.06,102.37,95.06,121.02,96.89,69.62,19.6,26.22,3.17,1.6,3.09,3.83,2.82,96.26,98,96.48,95.62,95.67,0.57,0.4,0.43,0.55,1.51,2.15,1.24,2.05,2.88,1.14
2012,3767,Bolívar (ETC),249260,825034100938779,82.48,54.13,82.13,58.07,28.98,98.87,54.13,82.13,58.07,28.98,21.53,27.98,4.18,3.71,4.17,4.5,3.78,94.44,95.93,94.26,94.16,94.62,1.38,0.36,1.57,1.34,1.61,1.89,1.13,1.89,2.44,0.97
2015,3767,Bolívar (ETC),246581,80.89,80.84,51.59,79.63,61.63,31.01,93.96,98.45,106.32,91.72,64.43,21.18,38.36,2.72,2.58,2.34,3.38,2.61,93.99,96.43,94.69,91.9,94.66,3.3,0.98,2.97,4.72,2.73,2.48,1.74,2.6,2.94,1.12
2017,3767,Bolívar (ETC),246587,83.78,83.72,55.51,80.1,64.45,35.49,96.8,102.33,106.73,95.95,69.34,22.708,44.13,2.48,2.49,2.1,3.15,2.17,92.94,96.18,93.3,91.03,94.06,4.58,1.33,4.6,5.82,3.77,1.93,1.49,2.07,2.19,0.8
2014,3767,Bolívar (ETC),247042,78.18,78.15,50.07,76.58,59.87,28.98,89.69,101.22,101.41,86.26,60.75,18.13,35.23,4.45,1.06,4.45,5.85,3.54,95.51,98.93,95.53,94.14,96.11,0.04,0,0.01,0,0.35,2.29,1.88,2.43,2.61,0.93
2016,3767,Bolívar (ETC),246355,82.85,82.81,50.13,80.87,62.75,34.22,96.65,98.97,108.28,95.31,67.96,22.121,42.34,3.11,3.17,2.65,4.02,2.43,93.73,96.36,94.45,91.49,94.73,3.16,0.48,2.89,4.49,2.84,1.95,1.36,2.12,2.19,0.92
2014,3769,Boyacá (ETC),199113,79.68,79.66,60.99,76.1,71.18,44.7,90.01,76.63,87.85,97.79,85.97,25.45,17.46,1.91,1.72,1.34,2.61,1.95,93.04,98.08,95.22,89.53,92.94,5.04,0.2,3.44,7.86,5.11,1.05,0.12,0.93,1.45,0.86
2012,3769,Boyacá (ETC),206273,823151842461204,82.3,69.26,78.14,70.47,43.79,97.43,69.26,78.14,70.47,43.79,24.99,30.66,3.64,2.84,2.69,4.85,4.11,90.91,97,93.29,86.59,90.69,5.45,0.15,4.02,8.57,5.2,1.72,0.17,1.49,2.51,1.36
2017,3769,Boyacá (ETC),188534,77.85,77.83,56.82,74.6,70.48,48.05,88.72,72.89,89.08,95.09,82.53,26.605,24.38,2.26,2.16,1.35,3.27,2.54,92.37,97.64,95.32,87.75,92.59,5.37,0.2,3.34,8.99,4.87,1.22,0.18,0.83,2.03,0.88
2015,3769,Boyacá (ETC),196027,78.69,78.67,59.28,75.19,70.22,45.77,87.54,75.59,86.12,95.83,79.72,24.95,19.41,2.4,1.95,1.49,3.5,2.52,92.75,97.72,95.26,88.78,93.02,4.86,0.33,3.26,7.72,4.46,1.1,0.14,1.03,1.58,0.49
2016,3769,Boyacá (ETC),192092,78.31,78.28,56.33,75.14,70.33,47.68,90.45,72.35,93.43,95.27,81.91,24.497,22.91,2.71,1.98,1.59,4.19,2.65,92.88,97.87,95.57,88.63,93.28,4.4,0.15,2.84,7.18,4.06,1.04,0.16,0.91,1.53,0.58
2013,3769,Boyacá (ETC),202457,81.15,81.13,64.71,77.81,71.25,44.15,91.76,79.14,90.15,98.14,88.91,39.48,21.96,2.68,2.39,1.96,3.58,2.77,91.9,97.4,94.28,87.73,92.26,5.42,0.21,3.76,8.69,4.97,1.12,0.16,1.04,1.48,0.92
